Data;BTC USD;ETH USD;LTC USD;ADA USD;XRP USD;EOS USD
2020-06-26;9191;231;43;0,08093325;0,1824;2,4665
2020-06-25;9225;233;42;0,0816315;0,18203;2,487
2020-06-24;9454;240;43;0,083127;0,18607;2,5335
2020-06-23;9651;243;44;0,083074;0,18927;2,57775
2020-06-22;9504;236;44;0,08103175;0,18787;2,55325
2020-06-21;9339;229;43;0,0792425;0,18704;2,52875
2020-06-20;9317;229;43;0,079204;0,18738;2,52075
2020-06-19;9344;230;43;0,0805755;0,18845;2,529
2020-06-18;9406;232;44;0,08246775;0,19111;2,54525
2020-06-17;9448;234;44;0,08093;0,19325;2,562
2020-06-16;9476;233;44;0,078461;0,19223;2,5415
2020-06-15;9297;229;43;0,07597175;0,18962;2,52475
2020-06-14;9389;235;44;0,0775845;0,19103;2,57725
2020-06-13;9448;237;45;0,07884825;0,19253;2,5945
2020-06-12;9387;234;44;0,077637;0,19088;2,555
2020-06-11;9562;239;45;0,07952025;0,19499;2,62025
2020-06-10;9832;246;46;0,08244875;0,20199;2,75425
2020-06-09;9755;245;46;0,0847345;0,20269;2,7605
2020-06-08;9743;245;46;0,0861285;0,20328;2,7915
2020-06-07;9655;242;46;0,08602675;0,20275;2,79125
2020-06-06;9646;241;47;0,085863;0,20318;2,80825
2020-06-05;9725;243;47;0,086772;0,20365;2,7785
2020-06-04;9704;243;47;0,087117;0,20421;2,70725
2020-06-03;9571;240;46;0,081832;0,20327;2,6795
2020-06-02;9818;241;47;0,07845525;0,20671;2,74875
2020-06-01;9844;240;47;0,07792425;0,20665;2,7465
2020-05-31;9562;238;47;0,0774435;0,20596;2,71825
2020-05-30;9550;233;46;0,0706735;0,20207;2,691
2020-05-29;9488;221;45;0,06470175;0,19933;2,62225
2020-05-28;9376;213;44;0,0605845;0,19859;2,5805
2020-05-27;9018;205;43;0,0543975;0,19633;2,53725
2020-05-26;8862;202;43;0,0533895;0,19463;2,5065
2020-05-25;8813;202;43;0,0526665;0,19413;2,50475
2020-05-24;8981;204;43;0,05348375;0,19641;2,535
2020-05-23;9187;207;44;0,055334;0,19986;2,58075
2020-05-22;9108;203;44;0,05403475;0,19733;2,533
2020-05-21;9243;203;43;0,05421875;0,19732;2,5195
2020-05-20;9621;212;45;0,0563295;0,20272;2,6155
2020-05-19;9722;214;45;0,05517875;0,20451;2,64075
2020-05-18;9716;211;45;0,05293325;0,20396;2,65975
2020-05-17;9562;204;44;0,05136275;0,20111;2,6285
2020-05-16;9377;198;43;0,05064;0,19913;2,61775
2020-05-15;9535;199;43;0,05075825;0,20064;2,60125
2020-05-14;9558;201;43;0,0512265;0,20265;2,56825
2020-05-13;9074;195;43;0,05095575;0,19959;2,48575
2020-05-12;8723;188;42;0,04927025;0,19516;2,4245
2020-05-11;8671;186;42;0,04764875;0,19372;2,40425
2020-05-10;9030;197;44;0,0483465;0,20303;2,55325
2020-05-09;9701;211;48;0,05197375;0,21904;2,768
2020-05-08;9884;212;47;0,0519365;0,21839;2,75825
2020-05-07;9558;206;46;0,05000175;0,21526;2,69975
2020-05-06;9112;203;46;0,04954925;0,21545;2,719
2020-05-05;8939;206;47;0,0495345;0,21761;2,77075
2020-05-04;8815;206;47;0,0486825;0,21627;2,773
2020-05-03;8941;212;49;0,04983225;0,22137;2,89
2020-05-02;8886;213;48;0,05068075;0,22066;2,90225
2020-05-01;8778;210;47;0,04945525;0,21614;2,86075
2020-04-30;8816;213;48;0,0501215;0,22047;2,92475
2020-04-29;8291;207;48;0,04926075;0,22134;2,90425
2020-04-28;7735;196;45;0,0468215;0,20618;2,74225
2020-04-27;7713;196;44;0,04608;0,19685;2,746
2020-04-26;7605;196;45;0,0440425;0,19516;2,72375
2020-04-25;7545;191;45;0,04212825;0,19416;2,71825
2020-04-24;7501;187;44;0,041795;0,19369;2,69675
